Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,First Close,YTD Return,Country
2025-05-08,8191.7001953125,8242.900390625,8183.2998046875,8231.2001953125,802000,0.0,0.0,^AXJO,8201.2001953125,0.366,AXJO (Australia)
2025-05-11,8231.2001953125,8279.2998046875,8231.2001953125,8233.5,661800,0.0,0.0,^AXJO,8201.2001953125,0.394,AXJO (Australia)
2025-05-12,8233.5,8314.0,8233.5,8269.0,924400,0.0,0.0,^AXJO,8201.2001953125,0.827,AXJO (Australia)
2025-05-13,8269.0,8279.599609375,8247.0,8279.599609375,732500,0.0,0.0,^AXJO,8201.2001953125,0.956,AXJO (Australia)
2025-05-14,8279.599609375,8303.099609375,8257.400390625,8297.5,753000,0.0,0.0,^AXJO,8201.2001953125,1.174,AXJO (Australia)
2025-05-15,8297.5,8398.2001953125,8297.5,8343.7001953125,762700,0.0,0.0,^AXJO,8201.2001953125,1.738,AXJO (Australia)
2025-05-18,8343.7001953125,8344.7998046875,8284.0,8295.099609375,626300,0.0,0.0,^AXJO,8201.2001953125,1.145,AXJO (Australia)
2025-05-19,8295.099609375,8364.5,8295.099609375,8343.2998046875,641000,0.0,0.0,^AXJO,8201.2001953125,1.733,AXJO (Australia)
2025-05-20,8343.2998046875,8422.900390625,8343.2998046875,8386.7998046875,648000,0.0,0.0,^AXJO,8201.2001953125,2.263,AXJO (Australia)
2025-05-21,8386.7998046875,8386.7998046875,8311.400390625,8348.7001953125,626900,0.0,0.0,^AXJO,8201.2001953125,1.799,AXJO (Australia)
2025-05-22,8348.7001953125,8380.599609375,8339.599609375,8360.900390625,552500,0.0,0.0,^AXJO,8201.2001953125,1.947,AXJO (Australia)
2025-05-25,8360.7001953125,8369.2998046875,8345.5,8361.0,502900,0.0,0.0,^AXJO,8201.2001953125,1.948,AXJO (Australia)
2025-05-26,8361.0,8407.599609375,8355.900390625,8407.599609375,540100,0.0,0.0,^AXJO,8201.2001953125,2.517,AXJO (Australia)
2025-05-27,8405.7001953125,8453.0,8392.400390625,8396.900390625,628500,0.0,0.0,^AXJO,8201.2001953125,2.386,AXJO (Australia)
2025-05-28,8396.900390625,8427.2998046875,8392.099609375,8409.7998046875,635000,0.0,0.0,^AXJO,8201.2001953125,2.544,AXJO (Australia)
2025-05-29,8409.7998046875,8439.7998046875,8380.2998046875,8434.7001953125,2254700,0.0,0.0,^AXJO,8201.2001953125,2.847,AXJO (Australia)
2025-06-01,8434.7001953125,8435.5,8401.099609375,8414.099609375,581600,0.0,0.0,^AXJO,8201.2001953125,2.596,AXJO (Australia)
2025-06-02,8414.099609375,8479.5,8414.099609375,8466.7001953125,692300,0.0,0.0,^AXJO,8201.2001953125,3.237,AXJO (Australia)
2025-06-03,8466.7001953125,8546.5,8466.7001953125,8541.7998046875,768800,0.0,0.0,^AXJO,8201.2001953125,4.153,AXJO (Australia)
2025-06-04,8541.7998046875,8567.2998046875,8526.900390625,8538.900390625,694400,0.0,0.0,^AXJO,8201.2001953125,4.118,AXJO (Australia)
2025-06-05,8538.900390625,8555.599609375,8515.7001953125,8515.7001953125,588300,0.0,0.0,^AXJO,8201.2001953125,3.835,AXJO (Australia)
2024-12-31,23637.650390625,23822.80078125,23562.80078125,23742.900390625,154900,0.0,0.0,^NSEI,23742.900390625,0.0,NSEI (India)
2025-01-01,23783.0,24226.69921875,23751.55078125,24188.650390625,283200,0.0,0.0,^NSEI,23742.900390625,1.877,NSEI (India)
2025-01-02,24196.400390625,24196.44921875,23976.0,24004.75,312300,0.0,0.0,^NSEI,23742.900390625,1.103,NSEI (India)
